Nº Processo,Natureza do Processo,Forma de Cadastramento,Crédito
742,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
15177,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
37084,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
8230,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
44566,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
38772,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
44659,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
7761,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
31348,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
17670,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
1383,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
23256,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
7329,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
28804,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
7564,DIGITAL,Manual,Restituição de Simples Nacional
44921,DIGITAL,Manual,Restituição de Simples Nacional
47975,DIGITAL,Manual,Restituição de Simples Nacional
20159,DIGITAL,Manual,Restituição de PGIM Empregador Doméstico
13891,ELETRÔNICO,Automático,Restituição de Contribuição Previdenciária Indevida ou a Maior
48035,ELETRÔNICO,Automático,Restituição de Contribuição Previdenciária Indevida ou a Maior
20496,ELETRÔNICO,Automático,Restituição de Contribuição Previdenciária Indevida ou a Maior
28655,ELETRÔNICO,Automático,Restituição de Contribuição Previdenciária Indevida ou a Maior
34344,ELETRÔNICO,Automático,Restituição de Contribuição Previdenciária Indevida ou a Maior
14871,ELETRÔNICO,Automático,Restituição de Contribuição Previdenciária Indevida ou a Maior
34466,ELETRÔNICO,Automático,Restituição de Contribuição Previdenciária Indevida ou a Maior
38914,ELETRÔNICO,Automático,Restituição de Contribuição Previdenciária Indevida ou a Maior
4950,ELETRÔNICO,Automático,Restituição de Contribuição Previdenciária Indevida ou a Maior
24231,ELETRÔNICO,Automático,Restituição de Contribuição Previdenciária Indevida ou a Maior
7648,ELETRÔNICO,Automático,Restituição de Contribuição Previdenciária Indevida ou a Maior
5311,ELETRÔNICO,Automático,Restituição de Contribuição Previdenciária Indevida ou a Maior
34855,ELETRÔNICO,Automático,Restituição de Contribuição Previdenciária Indevida ou a Maior
45416,ELETRÔNICO,Automático,Restituição de Contribuição Previdenciária Indevida ou a Maior
